Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
YDL157C	YDL157C	chr4	174416	-	18
CLB3	YDL155W	chr4	176453	+	130
SAS10	YDL153C	chr4	182865	-	37
RPC53	YDL150W	chr4	183057	+	96
ATG9	YDL149W	chr4	184719	+	16
NOP14	YDL148C	chr4	190426	-	30
RPN5	YDL147W	chr4	190691	+	43
COP1	YDL145C	chr4	198152	-	262
YDL144C	YDL144C	chr4	199481	-	35
CCT4	YDL143W	chr4	199675	+	35
CRD1	YDL142C	chr4	202349	-	65
BPL1	YDL141W	chr4	202514	+	239
RPO21	YDL140C	chr4	210818	-	543
SCM3	YDL139C	chr4	211788	-	28
RGT2	YDL138W	chr4	212882	+	176
ARF2	YDL137W	chr4	215809	+	427
RPL35B	YDL136W	chr4	217274	+	33
RDI1	YDL135C	chr4	219040	-	45
PPH21	YDL134C	chr4	220979	-	501
SRF1	YDL133W	chr4	221978	+	156
CDC53	YDL132W	chr4	223724	+	287
LYS21	YDL131W	chr4	227060	+	36
STF1	YDL130W-A	chr4	228851	+	23
RPP1B	YDL130W	chr4	229592	+	17
YDL129W	YDL129W	chr4	230577	+	150
VCX1	YDL128W	chr4	232294	+	61
PCL2	YDL127W	chr4	234559	+	71
CDC48	YDL126C	chr4	238411	-	44
HNT1	YDL125C	chr4	239289	-	-20
YDL124W	YDL124W	chr4	239917	+	45
SNA4	YDL123W	chr4	241091	+	30
UBP1	YDL122W	chr4	242014	+	241
EXP1	YDL121C	chr4	245311	-	26
YFH1	YDL120W	chr4	245546	+	80
HEM25	YDL119C	chr4	247367	-	52
NUP84	YDL116W	chr4	251228	+	41
IWR1	YDL115C	chr4	254871	-	42
ATG20	YDL113C	chr4	258328	-	70
TRM3	YDL112W	chr4	258563	+	55
RRP42	YDL111C	chr4	263882	-	69
TMA17	YDL110C	chr4	264724	-	57
KIN28	YDL108W	chr4	267379	+	23
MSS2	YDL107W	chr4	268604	+	21
PHO2	YDL106C	chr4	271666	-	64
NSE4	YDL105W	chr4	272078	+	12
QRI7	YDL104C	chr4	274594	-	31
QRI1	YDL103C	chr4	276330	-	63
POL3	YDL102W	chr4	276477	+	81
DUN1	YDL101C	chr4	281566	-	32
GET3	YDL100C	chr4	282898	-	36
BUG1	YDL099W	chr4	283047	+	57
SNU23	YDL098C	chr4	284874	-	10
RPN6	YDL097C	chr4	286430	-	32
PMT1	YDL095W	chr4	286728	+	33
PMT5	YDL093W	chr4	289563	+	48
SRP14	YDL092W	chr4	292460	+	23
UBX3	YDL091C	chr4	294555	-	94
RAM1	YDL090C	chr4	296060	-	29
NUR1	YDL089W	chr4	296233	+	289
ASM4	YDL088C	chr4	299643	-	-64
LUC7	YDL087C	chr4	300719	-	16
YDL086W	YDL086W	chr4	301112	+	5
YDL085C-A	YDL085C-A	chr4	302433	-	59
NDE2	YDL085W	chr4	302864	+	51
SUB2	YDL084W	chr4	304781	+	160
RPS16B	YDL083C	chr4	307523	-	30
RPL13A	YDL082W	chr4	308076	+	52
RPP1A	YDL081C	chr4	309892	-	66
THI3	YDL080C	chr4	312360	-	185
MRK1	YDL079C	chr4	314500	-	48
MDH3	YDL078C	chr4	316164	-	72
VAM6	YDL077C	chr4	320011	-	187
RPL31A	YDL075W	chr4	321899	+	31
BRE1	YDL074C	chr4	325925	-	72
AHK1	YDL073W	chr4	326137	+	180
YET3	YDL072C	chr4	330214	-	63
BDF2	YDL070W	chr4	330705	+	23
CBS1	YDL069C	chr4	333647	-	133
COX9	YDL067C	chr4	334146	-	46
IDP1	YDL066W	chr4	334511	+	28
PEX19	YDL065C	chr4	336992	-	19
UBC9	YDL064W	chr4	337140	+	43
SYO1	YDL063C	chr4	339931	-	101
RPS29B	YDL061C	chr4	340935	-	441
TSR1	YDL060W	chr4	341295	+	20
RAD59	YDL059C	chr4	344692	-	41
USO1	YDL058W	chr4	345327	+	36
YDL057W	YDL057W	chr4	351097	+	35
MBP1	YDL056W	chr4	352460	+	115
PSA1	YDL055C	chr4	356606	-	149
MCH1	YDL054C	chr4	361063	-	78
PBP4	YDL053C	chr4	362154	-	198
SLC1	YDL052C	chr4	363319	-	36
LHP1	YDL051W	chr4	363629	+	23
KNH1	YDL049C	chr4	365625	-	51
STP4	YDL048C	chr4	367961	-	50
SIT4	YDL047W	chr4	369248	+	205
NPC2	YDL046W	chr4	370837	+	85
MRP10	YDL045W-A	chr4	371886	+	44
FAD1	YDL045C	chr4	373426	-	136
MTF2	YDL044C	chr4	374996	-	25
PRP11	YDL043C	chr4	376209	-	47
SIR2	YDL042C	chr4	378187	-	60
NAT1	YDL040C	chr4	381147	-	27
BSC1	YDL037C	chr4	385456	-	187
PUS9	YDL036C	chr4	388592	-	9
GPR1	YDL035C	chr4	392013	-	286
SLM3	YDL033C	chr4	393621	-	39
DBP10	YDL031W	chr4	393834	+	53
PRP9	YDL030W	chr4	397128	+	79
ARP2	YDL029W	chr4	398977	+	33
MPS1	YDL028C	chr4	403085	-	124
MRX9	YDL027C	chr4	404674	-	46
RTK1	YDL025C	chr4	407073	-	196
DIA3	YDL024C	chr4	409539	-	11
GPD1	YDL022W	chr4	411431	+	65
GPM2	YDL021W	chr4	413600	+	24
RPN4	YDL020C	chr4	416623	-	244
OSH2	YDL019C	chr4	421398	-	213
ERP3	YDL018C	chr4	423241	-	60
CDC7	YDL017W	chr4	423771	+	109
TSC13	YDL015C	chr4	426658	-	53
NOP1	YDL014W	chr4	426892	+	143
SLX5	YDL013W	chr4	428603	+	135
YDL012C	YDL012C	chr4	431205	-	17
GRX6	YDL010W	chr4	431973	+	28
APC11	YDL008W	chr4	433147	+	21
RPT2	YDL007W	chr4	437673	+	38
PTC1	YDL006W	chr4	439199	+	374
MED2	YDL005C	chr4	442013	-	40
ATP16	YDL004W	chr4	442650	+	43
MCD1	YDL003W	chr4	444223	+	124
NHP10	YDL002C	chr4	447282	-	40
RMD1	YDL001W	chr4	447590	+	58
NTH1	YDR001C	chr4	452346	-	207
YRB1	YDR002W	chr4	452680	+	29
RCR2	YDR003W	chr4	453741	+	45
RAD57	YDR004W	chr4	454879	+	-14
MAF1	YDR005C	chr4	457884	-	117
SOK1	YDR006C	chr4	461007	-	96
TRP1	YDR007W	chr4	461472	+	34
GAL3	YDR009W	chr4	462918	+	180
SNQ2	YDR011W	chr4	465244	+	339
RPL4B	YDR012W	chr4	471485	+	32
PSF1	YDR013W	chr4	472805	+	16
RAD61	YDR014W	chr4	473659	+	51
DAD1	YDR016C	chr4	478458	-	36
KCS1	YDR017C	chr4	481945	-	14
YDR018C	YDR018C	chr4	483547	-	29
GCV1	YDR019C	chr4	485040	-	17
DAS2	YDR020C	chr4	486205	-	103
ATG31	YDR022C	chr4	488328	-	8
SES1	YDR023W	chr4	489144	+	22
RPS11A	YDR025W	chr4	491147	+	26
NSI1	YDR026C	chr4	494076	-	150
VPS54	YDR027C	chr4	497088	-	112
REG1	YDR028C	chr4	501005	-	468
RAD28	YDR030C	chr4	502939	-	8
MIX14	YDR031W	chr4	503126	+	30
PST2	YDR032C	chr4	504412	-	59
MRH1	YDR033W	chr4	507559	+	246
LYS14	YDR034C	chr4	511731	-	-35
ARO3	YDR035W	chr4	515868	+	35
RSM10	YDR041W	chr4	526139	+	35
NRG1	YDR043C	chr4	529932	-	197
HEM13	YDR044W	chr4	532816	+	69
RPC11	YDR045C	chr4	534708	-	155
BAP3	YDR046C	chr4	536900	-	90
HEM12	YDR047W	chr4	537963	+	124
VMS1	YDR049W	chr4	539454	+	28
TPI1	YDR050C	chr4	542730	-	30
DET1	YDR051C	chr4	544334	-	46
DBF4	YDR052C	chr4	547008	-	154
CDC34	YDR054C	chr4	548698	-	146
PST1	YDR055W	chr4	549690	+	59
EMC10	YDR056C	chr4	551919	-	58
YOS9	YDR057W	chr4	552100	+	48
TGL2	YDR058C	chr4	554957	-	33
UBC5	YDR059C	chr4	556009	-	19
MAK21	YDR060W	chr4	556793	+	76
YDR061W	YDR061W	chr4	560366	+	18
LCB2	YDR062W	chr4	562316	+	378
AIM7	YDR063W	chr4	564814	+	68
RPS13	YDR064W	chr4	565644	+	33
RRG1	YDR065W	chr4	566869	+	37
RTR2	YDR066C	chr4	568858	-	141
OCA6	YDR067C	chr4	569718	-	35
DOS2	YDR068W	chr4	569891	+	40
DOA4	YDR069C	chr4	574024	-	63
FMP16	YDR070C	chr4	574667	-	60
PAA1	YDR071C	chr4	575697	-	67
IPT1	YDR072C	chr4	577698	-	126
SNF11	YDR073W	chr4	578591	+	76
TPS2	YDR074W	chr4	580027	+	94
PPH3	YDR075W	chr4	583196	+	188
RAD55	YDR076W	chr4	584641	+	55
SED1	YDR077W	chr4	586978	+	43
SHU2	YDR078C	chr4	589128	-	31
PET100	YDR079W	chr4	589261	+	31
TFB5	YDR079C-A	chr4	590066	-	27
VPS41	YDR080W	chr4	590204	+	32
PDC2	YDR081C	chr4	596395	-	87
STN1	YDR082W	chr4	596576	+	92
RRP8	YDR083W	chr4	598278	+	22
TVP23	YDR084C	chr4	600257	-	26
AFR1	YDR085C	chr4	602437	-	60
SSS1	YDR086C	chr4	603439	-	42
RRP1	YDR087C	chr4	604565	-	37
SLU7	YDR088C	chr4	606052	-	184
VTC5	YDR089W	chr4	608305	+	28
ILT1	YDR090C	chr4	612262	-	43
RLI1	YDR091C	chr4	614827	-	72
UBC13	YDR092W	chr4	615937	+	24
DNF2	YDR093W	chr4	617096	+	266
GIS1	YDR096W	chr4	622931	+	287
MSH6	YDR097C	chr4	630006	-	91
GRX3	YDR098C	chr4	631047	-	38
BMH2	YDR099W	chr4	633190	+	226
TVP15	YDR100W	chr4	634794	+	20
ARX1	YDR101C	chr4	637295	-	27
STE5	YDR103W	chr4	638099	+	49
SPO71	YDR104C	chr4	644757	-	49
TMS1	YDR105C	chr4	646617	-	51
ARP10	YDR106W	chr4	646778	+	22
TMN2	YDR107C	chr4	650509	-	27
TRS85	YDR108W	chr4	650681	+	37
YDR109C	YDR109C	chr4	655107	-	-9
FOB1	YDR110W	chr4	655496	+	55
ALT2	YDR111C	chr4	659196	-	8
PDS1	YDR113C	chr4	661125	-	85
MRX14	YDR115W	chr4	661544	+	54
MRPL1	YDR116C	chr4	663041	-	35
TMA64	YDR117C	chr4	665107	-	38
APC4	YDR118W	chr4	665291	+	17
VBA4	YDR119W	chr4	667565	+	84
COX26	YDR119W-A	chr4	670388	+	48
TRM1	YDR120C	chr4	672662	-	-27
DPB4	YDR121W	chr4	672891	+	120
KIN1	YDR122W	chr4	673844	+	288
INO2	YDR123C	chr4	678943	-	40
YDR124W	YDR124W	chr4	679690	+	60
ECM18	YDR125C	chr4	682127	-	-50
SWF1	YDR126W	chr4	682648	+	5
ARO1	YDR127W	chr4	683828	+	76
MTC5	YDR128W	chr4	688925	+	44
SAC6	YDR129C	chr4	694845	-	46
FIN1	YDR130C	chr4	696070	-	28
YDR132C	YDR132C	chr4	699839	-	121
YCF1	YDR135C	chr4	707008	-	43
RGP1	YDR137W	chr4	707589	+	85
HPR1	YDR138W	chr4	709980	+	13
RUB1	YDR139C	chr4	713365	-	26
MTQ2	YDR140W	chr4	713539	+	14
DOP1	YDR141C	chr4	719460	-	48
PEX7	YDR142C	chr4	721163	-	148
SAN1	YDR143C	chr4	723435	-	146
MKC7	YDR144C	chr4	725656	-	140
TAF12	YDR145W	chr4	726087	+	66
SWI5	YDR146C	chr4	730342	-	171
EKI1	YDR147W	chr4	730989	+	71
KGD2	YDR148C	chr4	734602	-	107
NUM1	YDR150W	chr4	734997	+	60
CTH1	YDR151C	chr4	746740	-	91
GIR2	YDR152W	chr4	747176	+	24
ENT5	YDR153C	chr4	749610	-	138
CPR1	YDR155C	chr4	750538	-	37
RPA14	YDR156W	chr4	750992	+	34
HOM2	YDR158W	chr4	751818	+	39
SAC3	YDR159W	chr4	753291	+	86
SSY1	YDR160W	chr4	757476	+	187
ACL4	YDR161W	chr4	760476	+	41
NBP2	YDR162C	chr4	762706	-	135
CWC15	YDR163W	chr4	762824	+	73
SEC1	YDR164C	chr4	765731	-	42
TRM82	YDR165W	chr4	766308	+	37
SEC5	YDR166C	chr4	770768	-	73
TAF10	YDR167W	chr4	770888	+	35
CDC37	YDR168W	chr4	771762	+	40
STB3	YDR169C	chr4	775727	-	366
SEC7	YDR170C	chr4	783899	-	218
HSP42	YDR171W	chr4	786158	+	86
SUP35	YDR172W	chr4	787897	+	53
ARG82	YDR173C	chr4	791306	-	38
HMO1	YDR174W	chr4	791715	+	31
RSM24	YDR175C	chr4	793828	-	47
NGG1	YDR176W	chr4	794043	+	38
UBC1	YDR177W	chr4	796408	+	95
SDH4	YDR178W	chr4	797471	+	102
CSN9	YDR179C	chr4	798814	-	-5
NVJ3	YDR179W-A	chr4	798974	+	82
SCC2	YDR180W	chr4	800776	+	143
SAS4	YDR181C	chr4	807019	-	40
CDC1	YDR182W	chr4	807182	+	50
PLP1	YDR183W	chr4	809180	+	55
ATC1	YDR184C	chr4	811192	-	29
UPS3	YDR185C	chr4	812227	-	103
SND1	YDR186C	chr4	815197	-	54
CCT6	YDR188W	chr4	816019	+	54
SLY1	YDR189W	chr4	818021	+	29
RVB1	YDR190C	chr4	821705	-	61
HST4	YDR191W	chr4	821942	+	44
NUP42	YDR192C	chr4	824583	-	73
MSS116	YDR194C	chr4	827618	-	23
REF2	YDR195W	chr4	828009	+	239
CAB5	YDR196C	chr4	830648	-	0
CBS2	YDR197W	chr4	830844	+	33
RKM2	YDR198C	chr4	833660	-	39
VPS64	YDR200C	chr4	835807	-	65
SPC19	YDR201W	chr4	835962	+	4
RAV2	YDR202C	chr4	837633	-	31
COQ4	YDR204W	chr4	837774	+	12
MSC2	YDR205W	chr4	838963	+	32
EBS1	YDR206W	chr4	841356	+	347
UME6	YDR207C	chr4	847260	-	89
MSS4	YDR208W	chr4	847749	+	124
YDR210W	YDR210W	chr4	850691	+	32
GCD6	YDR211W	chr4	864311	+	39
TCP1	YDR212W	chr4	866790	+	65
UPC2	YDR213W	chr4	869160	+	214
AHA1	YDR214W	chr4	872359	+	116
ADR1	YDR216W	chr4	874126	+	509
RAD9	YDR217C	chr4	883137	-	57
MFB1	YDR219C	chr4	886687	-	235
GTB1	YDR221W	chr4	886917	+	13
YDR222W	YDR222W	chr4	889609	+	36
CRF1	YDR223W	chr4	891402	+	288
HTB1	YDR224C	chr4	894337	-	34
HTA1	YDR225W	chr4	895046	+	75
ADK1	YDR226W	chr4	896017	+	60
SIR4	YDR227W	chr4	897045	+	117
PCF11	YDR228C	chr4	904095	-	708
IVY1	YDR229W	chr4	904265	+	101
COX20	YDR231C	chr4	906507	-	16
HEM1	YDR232W	chr4	906773	+	260
RTN1	YDR233C	chr4	909997	-	59
LYS4	YDR234W	chr4	910681	+	29
PRP42	YDR235W	chr4	913085	+	0
FMN1	YDR236C	chr4	915498	-	25
MRPL7	YDR237W	chr4	916054	+	142
SEC26	YDR238C	chr4	920430	-	33
YDR239C	YDR239C	chr4	923026	-	25
SNU56	YDR240C	chr4	924753	-	20
AMD2	YDR242W	chr4	926345	+	43
PRP28	YDR243C	chr4	929894	-	29
PEX5	YDR244W	chr4	930119	+	25
MNN10	YDR245W	chr4	932318	+	63
TRS23	YDR246W	chr4	933856	+	13
VHS1	YDR247W	chr4	935238	+	356
YDR248C	YDR248C	chr4	937978	-	58
YDR249C	YDR249C	chr4	939423	-	40
PAM1	YDR251W	chr4	939886	+	309
BTT1	YDR252W	chr4	942985	+	8
MET32	YDR253C	chr4	944305	-	159
CHL4	YDR254W	chr4	944640	+	54
RMD5	YDR255C	chr4	947440	-	45
CTA1	YDR256C	chr4	949298	-	45
RKM4	YDR257C	chr4	951051	-	4
HSP78	YDR258C	chr4	953841	-	25
YAP6	YDR259C	chr4	955567	-	212
SWM1	YDR260C	chr4	956839	-	37
EXG2	YDR261C	chr4	958835	-	53
YDR262W	YDR262W	chr4	972526	+	11
AKR1	YDR264C	chr4	977832	-	106
PEX10	YDR265W	chr4	978223	+	44
HEL2	YDR266C	chr4	981642	-	216
CIA1	YDR267C	chr4	982974	-	69
MSW1	YDR268W	chr4	983368	+	39
CCC2	YDR270W	chr4	984999	+	79
GLO2	YDR272W	chr4	988356	+	57
DON1	YDR273W	chr4	989563	+	16
BSC2	YDR275W	chr4	991558	+	97
PMP3	YDR276C	chr4	993087	-	41
MTH1	YDR277C	chr4	995263	-	158
RNH202	YDR279W	chr4	998704	+	67
RRP45	YDR280W	chr4	1000009	+	141
PHM6	YDR281C	chr4	1001770	-	46
MRX10	YDR282C	chr4	1004165	-	7
GCN2	YDR283C	chr4	1009677	-	225
DPP1	YDR284C	chr4	1011103	-	281
MGP12	YDR286C	chr4	1014993	-	15
INM2	YDR287W	chr4	1015366	+	32
NSE3	YDR288W	chr4	1016552	+	46
RTT103	YDR289C	chr4	1018947	-	35
HRQ1	YDR291W	chr4	1019133	+	-2
SRP101	YDR292C	chr4	1024546	-	132
DPL1	YDR294C	chr4	1031664	-	33
HDA2	YDR295C	chr4	1034313	-	263
MHR1	YDR296W	chr4	1034562	+	53
SUR2	YDR297W	chr4	1035918	+	36
ATP5	YDR298C	chr4	1038335	-	118
BFR2	YDR299W	chr4	1038970	+	60
PRO1	YDR300C	chr4	1042226	-	32
CFT1	YDR301W	chr4	1042696	+	59
GPI11	YDR302W	chr4	1047091	+	43
RSC3	YDR303C	chr4	1050901	-	112
CPR5	YDR304C	chr4	1051989	-	29
HNT2	YDR305C	chr4	1052883	-	-8
YDR306C	YDR306C	chr4	1054629	-	55
PMT7	YDR307W	chr4	1055225	+	43
SRB7	YDR308C	chr4	1057893	-	41
GIC2	YDR309C	chr4	1059642	-	50
TFB1	YDR311W	chr4	1064433	+	25
SSF2	YDR312W	chr4	1066942	+	32
PIB1	YDR313C	chr4	1069491	-	19
RAD34	YDR314C	chr4	1071942	-	38
IPK1	YDR315C	chr4	1072977	-	-2
OMS1	YDR316W	chr4	1073152	+	4
HIM1	YDR317W	chr4	1081542	+	34
MCM21	YDR318W	chr4	1083134	+	16
YFT2	YDR319C	chr4	1085266	-	47
SWA2	YDR320C	chr4	1087518	-	25
DAD4	YDR320C-A	chr4	1087913	-	23
ASP1	YDR321W	chr4	1088053	+	41
MRPL35	YDR322W	chr4	1089955	+	26
TIM11	YDR322C-A	chr4	1091726	-	41
PEP7	YDR323C	chr4	1093449	-	30
UTP4	YDR324C	chr4	1096108	-	-47
YCG1	YDR325W	chr4	1096501	+	17
YSP2	YDR326C	chr4	1104503	-	186
SKP1	YDR328C	chr4	1105477	-	67
PEX3	YDR329C	chr4	1107009	-	22
UBX5	YDR330W	chr4	1107195	+	69
GPI8	YDR331W	chr4	1108950	+	30
IRC3	YDR332W	chr4	1110368	+	25
RQC1	YDR333C	chr4	1114857	-	34
SWR1	YDR334W	chr4	1115160	+	164
MSN5	YDR335W	chr4	1120189	+	371
MRX8	YDR336W	chr4	1124477	+	7
MRPS28	YDR337W	chr4	1125662	+	49
YDR338C	YDR338C	chr4	1128917	-	59
FCF1	YDR339C	chr4	1129947	-	35
YDR341C	YDR341C	chr4	1133040	-	21
HXT7	YDR342C	chr4	1135407	-	86
HXT6	YDR343C	chr4	1140815	-	102
HXT3	YDR345C	chr4	1144085	-	32
SVF1	YDR346C	chr4	1148209	-	157
MRP1	YDR347W	chr4	1148507	+	64
PAL1	YDR348C	chr4	1151411	-	193
YPS7	YDR349C	chr4	1153665	-	96
ATP22	YDR350C	chr4	1157595	-	28
SBE2	YDR351W	chr4	1157832	+	221
YPQ2	YDR352W	chr4	1161010	+	178
TRR1	YDR353W	chr4	1162638	+	48
TRP4	YDR354W	chr4	1164058	+	76
SPC110	YDR356W	chr4	1165483	+	11
CNL1	YDR357C	chr4	1168945	-	-9
GGA1	YDR358W	chr4	1169399	+	47
EAF1	YDR359C	chr4	1174559	-	288
BCP1	YDR361C	chr4	1175691	-	41
TFC6	YDR362C	chr4	1178194	-	110
ESC2	YDR363W	chr4	1178394	+	176
SEM1	YDR363W-A	chr4	1181493	+	22
CDC40	YDR364C	chr4	1183620	-	23
ESF1	YDR365C	chr4	1185834	-	64
KEI1	YDR367W	chr4	1192178	+	56
YPR1	YDR368W	chr4	1193239	+	51
XRS2	YDR369C	chr4	1196989	-	23
DXO1	YDR370C	chr4	1198506	-	10
CTS2	YDR371W	chr4	1198743	+	56
VPS74	YDR372C	chr4	1201809	-	274
FRQ1	YDR373W	chr4	1202100	+	45
WIP1	YDR374W-A	chr4	1204122	+	21
BCS1	YDR375C	chr4	1205938	-	16
ARH1	YDR376W	chr4	1206145	+	63
ATP17	YDR377W	chr4	1207930	+	67
LSM6	YDR378C	chr4	1209013	-	18
RGA2	YDR379W	chr4	1209488	+	65
SDH6	YDR379C-A	chr4	1212925	-	22
YRA1	YDR381W	chr4	1215861	+	83
COI1	YDR381C-A	chr4	1218237	-	1
RPP2B	YDR382W	chr4	1218795	+	81
NKP1	YDR383C	chr4	1220079	-	19
ATO3	YDR384C	chr4	1221484	-	69
EFT2	YDR385W	chr4	1222561	+	53
MUS81	YDR386W	chr4	1225456	+	11
CIN10	YDR387C	chr4	1229307	-	103
RVS167	YDR388W	chr4	1229518	+	51
SAC7	YDR389W	chr4	1231398	+	522
UBA2	YDR390C	chr4	1236259	-	29
YDR391C	YDR391C	chr4	1237450	-	11
SPT3	YDR392W	chr4	1238050	+	29
SHE9	YDR393W	chr4	1239258	+	26
RPT3	YDR394W	chr4	1240960	+	104
SXM1	YDR395W	chr4	1242587	+	120
NCB2	YDR397C	chr4	1246335	-	54
UTP5	YDR398W	chr4	1246779	+	75
HPT1	YDR399W	chr4	1249382	+	69
URH1	YDR400W	chr4	1250426	+	20
DIT1	YDR403W	chr4	1254761	+	-776
RPB7	YDR404C	chr4	1256744	-	192
MRP20	YDR405W	chr4	1256976	+	53
PDR15	YDR406W	chr4	1258463	+	130
TRS120	YDR407C	chr4	1267401	-	80
ADE8	YDR408C	chr4	1268288	-	46
SIZ1	YDR409W	chr4	1268750	+	39
STE14	YDR410C	chr4	1272544	-	70
DFM1	YDR411C	chr4	1273827	-	50
RRP17	YDR412W	chr4	1274051	+	25
ERD1	YDR414C	chr4	1276266	-	197
YDR415C	YDR415C	chr4	1277588	-	44
SYF1	YDR416W	chr4	1277752	+	63
RPL12B	YDR418W	chr4	1280965	+	34
RAD30	YDR419W	chr4	1282539	+	18
HKR1	YDR420W	chr4	1285368	+	281
ARO80	YDR421W	chr4	1291164	+	90
SIP1	YDR422C	chr4	1297043	-	56
CAD1	YDR423C	chr4	1298448	-	-41
DYN2	YDR424C	chr4	1299091	-	36
SNX41	YDR425W	chr4	1299228	+	50
RPN9	YDR427W	chr4	1301387	+	32
BNA7	YDR428C	chr4	1303481	-	28
TIF35	YDR429C	chr4	1304532	-	17
CYM1	YDR430C	chr4	1307766	-	82
NPL3	YDR432W	chr4	1307969	+	28
GPI17	YDR434W	chr4	1310355	+	96
PPM1	YDR435C	chr4	1313195	-	12
PPZ2	YDR436W	chr4	1313782	+	253
GPI19	YDR437W	chr4	1316499	+	67
LRS4	YDR439W	chr4	1318814	+	76
DOT1	YDR440W	chr4	1321620	+	87
APT2	YDR441C	chr4	1324425	-	149
SSN2	YDR443C	chr4	1329205	-	53
YDR444W	YDR444W	chr4	1329419	+	85
RPS17B	YDR447C	chr4	1334795	-	28
ADA2	YDR448W	chr4	1335243	+	36
UTP6	YDR449C	chr4	1338120	-	29
RPS18A	YDR450W	chr4	1339085	+	27
YHP1	YDR451C	chr4	1341432	-	62
PPN1	YDR452W	chr4	1341917	+	150
TSA2	YDR453C	chr4	1344919	-	68
GUK1	YDR454C	chr4	1346032	-	16
NHX1	YDR456W	chr4	1346631	+	43
TOM1	YDR457W	chr4	1348865	+	114
HEH2	YDR458C	chr4	1361269	-	34
PFA5	YDR459C	chr4	1362728	-	96
TFB3	YDR460W	chr4	1362872	+	128
MFA1	YDR461W	chr4	1364337	+	28
CMI8	YDR461C-A	chr4	1364973	-	18
MRPL28	YDR462W	chr4	1365208	+	54
STP1	YDR463W	chr4	1365960	+	45
SPP41	YDR464W	chr4	1367957	+	104
RMT2	YDR465C	chr4	1373825	-	62
PKH3	YDR466W	chr4	1374196	+	114
TLG1	YDR468C	chr4	1377983	-	94
SDC1	YDR469W	chr4	1378189	+	15
UGO1	YDR470C	chr4	1380494	-	91
RPL27B	YDR471W	chr4	1380937	+	22
TRS31	YDR472W	chr4	1382472	+	39
PRP3	YDR473C	chr4	1385111	-	68
JIP4	YDR475C	chr4	1389388	-	105
YDR476C	YDR476C	chr4	1390334	-	18
SNF1	YDR477W	chr4	1391281	+	281
SNM1	YDR478W	chr4	1393727	+	37
PEX29	YDR479C	chr4	1396111	-	48
DIG2	YDR480W	chr4	1396543	+	45
PHO8	YDR481C	chr4	1399494	-	55
CWC21	YDR482C	chr4	1400092	-	65
KRE2	YDR483W	chr4	1400320	+	26
VPS52	YDR484W	chr4	1401923	+	29
VPS72	YDR485C	chr4	1406417	-	21
VPS60	YDR486C	chr4	1407318	-	9
RIB3	YDR487C	chr4	1408248	-	79
PAC11	YDR488C	chr4	1409971	-	-7
SLD5	YDR489W	chr4	1410183	+	18
PKH1	YDR490C	chr4	1413542	-	85
IZH1	YDR492W	chr4	1413959	+	154
MZM1	YDR493W	chr4	1415305	+	101
RSM28	YDR494W	chr4	1416086	+	33
VPS3	YDR495C	chr4	1420396	-	57
PUF6	YDR496C	chr4	1422614	-	22
ITR1	YDR497C	chr4	1424731	-	75
SEC20	YDR498C	chr4	1426221	-	38
LCD1	YDR499W	chr4	1427026	+	-7
RPL37B	YDR500C	chr4	1430064	-	22
SAM2	YDR502C	chr4	1433701	-	48
LPP1	YDR503C	chr4	1435105	-	50
PSP1	YDR505C	chr4	1438564	-	155
GIN4	YDR507C	chr4	1445094	-	119
GNP1	YDR508C	chr4	1447677	-	44
SMT3	YDR510W	chr4	1448504	+	85
SDH7	YDR511W	chr4	1449181	+	25
EMI1	YDR512C	chr4	1449983	-	-269
GRX2	YDR513W	chr4	1450184	+	22
YDR514C	YDR514C	chr4	1452249	-	61
SLF1	YDR515W	chr4	1452391	+	227
EMI2	YDR516C	chr4	1455721	-	56
GRH1	YDR517W	chr4	1456355	+	73
EUG1	YDR518W	chr4	1457772	+	25
FPR2	YDR519W	chr4	1459569	+	45
URC2	YDR520C	chr4	1462675	-	83
AGE1	YDR524C	chr4	1468242	-	67
YDR524C-B	YDR524C-B	chr4	1469026	-	45
SNA2	YDR525W-A	chr4	1469750	+	28
RBA50	YDR527W	chr4	1470263	+	12
HLR1	YDR528W	chr4	1473443	+	320
QCR7	YDR529C	chr4	1475754	-	31
APA2	YDR530C	chr4	1477146	-	203
CAB1	YDR531W	chr4	1477357	+	50
KRE28	YDR532C	chr4	1479734	-	6
HSP31	YDR533C	chr4	1481375	-	39
STL1	YDR536W	chr4	1486965	+	30
FDC1	YDR539W	chr4	1491052	+	32
YDR541C	YDR541C	chr4	1499928	-	236
YEL073C	YEL073C	chr5	8870	-	13
RMD6	YEL072W	chr5	14990	+	34
DLD3	YEL071W	chr5	17325	+	13
DSF1	YEL070W	chr5	20499	+	73
HXT13	YEL069C	chr5	24256	-	46
YEL068C	YEL068C	chr5	26969	-	11
YEL067C	YEL067C	chr5	27445	-	-311
HPA3	YEL066W	chr5	27661	+	-14
SIT1	YEL065W	chr5	28617	+	20
AVT2	YEL064C	chr5	32248	-	29
CAN1	YEL063C	chr5	34493	-	47
NPR2	YEL062W	chr5	35376	+	13
CIN8	YEL061C	chr5	40640	-	123
PRB1	YEL060C	chr5	42985	-	55
SOM1	YEL059C-A	chr5	43679	-	77
PCM1	YEL058W	chr5	44201	+	31
SDD1	YEL057C	chr5	46778	-	77
